S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
16730,30/06/2022,Madhya Pradesh,1044243,490,1033012,10741
16731,01/01/1970,Maharashtra,6643883,10120,6492504,141259
16732,21/12/2014,Maharashtra,6644452,10186,6493002,141264
16733,21/12/2015,Maharashtra,6645136,10160,6493688,141288
16734,12/03/2020,Maharashtra,11,11,0,0
16735,13/03/2020,Maharashtra,11,11,0,0
16736,14/03/2020,Maharashtra,14,14,0,0
16737,15/03/2020,Maharashtra,31,31,0,0
16738,16/03/2020,Maharashtra,32,32,0,0
16739,17/03/2020,Maharashtra,39,38,0,1
16740,18/03/2020,Maharashtra,41,40,0,1
16741,19/03/2020,Maharashtra,45,44,0,1
16742,20/03/2020,Maharashtra,47,46,0,1
16743,21/03/2020,Maharashtra,52,51,0,1
16744,22/03/2020,Maharashtra,67,65,0,2
16745,23/03/2020,Maharashtra,74,72,0,2
16746,24/03/2020,Maharashtra,87,85,0,2
16747,25/03/2020,Maharashtra,89,87,0,2
16748,26/03/2020,Maharashtra,124,120,1,3
16749,27/03/2020,Maharashtra,130,111,15,4
16750,28/03/2020,Maharashtra,180,150,25,5
16751,29/03/2020,Maharashtra,186,155,25,6
16752,30/03/2020,Maharashtra,193,160,25,8
16753,31/03/2020,Maharashtra,216,168,39,9
16754,01/04/2020,Maharashtra,302,254,39,9
16755,02/04/2020,Maharashtra,335,280,42,13
16756,03/04/2020,Maharashtra,335,277,42,16
16757,04/04/2020,Maharashtra,423,362,42,19
16758,05/04/2020,Maharashtra,490,424,42,24
16759,06/04/2020,Maharashtra,690,603,42,45
16760,07/04/2020,Maharashtra,748,647,56,45
16761,08/04/2020,Maharashtra,1018,875,79,64
16762,09/04/2020,Maharashtra,1135,946,117,72
16763,10/04/2020,Maharashtra,1364,1142,125,97
16764,11/04/2020,Maharashtra,1574,1276,188,110
16765,12/04/2020,Maharashtra,1761,1426,208,127
16766,13/04/2020,Maharashtra,1985,1619,217,149
16767,14/04/2020,Maharashtra,2334,1957,217,160
16768,15/04/2020,Maharashtra,2687,2250,259,178
16769,16/04/2020,Maharashtra,2916,2434,295,187
16770,17/04/2020,Maharashtra,3205,2711,300,194
16771,18/04/2020,Maharashtra,3323,2791,331,201
16772,19/04/2020,Maharashtra,3651,3075,365,211
16773,20/04/2020,Maharashtra,4203,3473,507,223
16774,21/04/2020,Maharashtra,4666,3862,572,232
16775,22/04/2020,Maharashtra,5218,4245,722,251
16776,23/04/2020,Maharashtra,5652,4594,789,269
16777,24/04/2020,Maharashtra,6430,5307,840,283
16778,25/04/2020,Maharashtra,6817,5676,840,301
16779,26/04/2020,Maharashtra,7628,6229,1076,323
16780,27/04/2020,Maharashtra,8068,6650,1076,342
16781,28/04/2020,Maharashtra,8590,6939,1282,369
16782,29/04/2020,Maharashtra,9318,7530,1388,400
16783,30/04/2020,Maharashtra,9915,7890,1593,432
16784,01/05/2020,Maharashtra,10498,8266,1773,459
16785,02/05/2020,Maharashtra,11506,9142,1879,485
16786,03/05/2020,Maharashtra,12296,9775,2000,521
16787,04/05/2020,Maharashtra,12974,10311,2115,548
